biomarkers,n_tests,coverage,worst_case_sensitivity,cost_eur,time_min,sample_ul,pathologies_covered,pathologies_uncovered,pareto_optimal
"Copeptin, H-FABP, Myoglobin",3,0.0,0.3,32.0,20.0,70.0,0,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, H-FABP, Procalcitonin",3,0.0,0.3,46.5,20.0,80.0,0,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, Myoglobin, Procalcitonin",3,0.0,0.3,45.0,20.0,80.0,0,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"H-FABP, Myoglobin, Procalcitonin",3,0.0,0.1,35.5,20.0,40.0,0,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, D-dimer, NT-proBNP, hs-cTnI",4,0.8333333333333334,0.2,36.0,15.0,55.0,5,Pneumothorax (tension),True
"Copeptin, D-dimer, NT-proBNP, hs-cTnI",4,0.6666666666666666,0.3,48.5,20.0,100.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP, NT-proBNP, hs-cTnI",4,0.6666666666666666,0.2,39.0,15.0,60.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, Myoglobin, NT-proBNP, hs-cTnI",4,0.6666666666666666,0.2,37.5,15.0,60.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, NT-proBNP, Procalcitonin, hs-cTnI",4,0.6666666666666666,0.2,52.0,20.0,70.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, hs-cTnI",4,0.6666666666666666,0.3,39.5,20.0,90.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"CRP, D-dimer, H-FABP, hs-cTnI",4,0.6666666666666666,0.15,30.0,15.0,50.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"CRP, D-dimer, Myoglobin, hs-cTnI",4,0.6666666666666666,0.15,28.5,15.0,50.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"CRP, D-dimer, Procalcitonin, hs-cTnI",4,0.6666666666666666,0.15,43.0,20.0,60.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"Copeptin, D-dimer, H-FABP, hs-cTnI",4,0.5,0.3,42.5,20.0,95.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, Myoglobin, hs-cTnI",4,0.5,0.3,41.0,20.0,95.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, Procalcitonin, hs-cTnI",4,0.5,0.3,55.5,20.0,105.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP, Myoglobin, hs-cTnI",4,0.5,0.15,31.5,15.0,55.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP, Procalcitonin, hs-cTnI",4,0.5,0.15,46.0,20.0,65.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, Myoglobin, Procalcitonin, hs-cTnI",4,0.5,0.15,44.5,20.0,65.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
